dataset	regime	depth	policy_code	family	utility
parse	common128	32	P	CM	-0.041809726460618396
parse	common128	32	P	TW	-0.03954406941854336
parse	common128	32	P	PCA	-0.03953699467558618
parse	common128	32	P	RBF	-0.03722861223540189
parse	common128	32	P	scGen	-0.07235581877037646
parse	common128	32	P	CPA	-0.2278599774792769
parse	common128	32	P	CellOT	-0.0792961016353011
parse	common128	32	O	NC	-0.0389825933452026
parse	common128	32	O	CM	-0.041809726460618396
parse	common128	32	O	TW	-0.03954406941854336
parse	common128	32	O	PCA	-0.03953699467558618
parse	common128	32	O	RBF	-0.03722861223540189
parse	common128	32	O	scGen	-0.06552915880762379
parse	common128	32	O	CPA	-0.22175175369536695
parse	common128	32	O	CellOT	-0.07178439422906455
parse	common128	32	D	NC	-0.038982593345202585
parse	common128	32	D	CM	-0.041809726460618396
parse	common128	32	D	TW	-0.03954406941854336
parse	common128	32	D	PCA	-0.03953699467558618
parse	common128	32	D	RBF	-0.03722861223540189
parse	common128	32	D	scGen	-0.06894248878899109
parse	common128	32	D	CPA	-0.22480586558735322
