allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
7	1024	S	0.018484796708119356	50	0	5
7	1024	M	0.018484796708119356	50	0	5
7	1024	P	0.01846612406408335	50	0	5
7	1024	O	0.01850346935215536	50	0	5
7	1024	D	0.01848479670811935	50	0	5
7	1080	S	0.018428702771264797	50	0	5
7	1080	M	0.018428702771264797	50	0	5
7	1080	P	0.018407773608428893	50	0	5
7	1080	O	0.018449631934100694	50	0	5
7	1080	D	0.01842870277126479	50	0	5
8	64	S	0.019640495847842363	51	0	4
8	64	M	0.019640495847842363	51	0	4
8	64	P	0.019374448931387123	50	0	5
8	64	O	0.019906542764297593	51	0	4
8	64	D	0.019640495847842367	51	0	4
8	128	S	0.01910126602624519	50	0	5
8	128	M	0.01910126602624519	50	0	5
8	128	P	0.018909430660500017	50	0	5
8	128	O	0.019293101391990353	51	0	4
8	128	D	0.019101266026245185	50	0	5
8	256	S	0.018578710301728217	50	0	5
8	256	M	0.018578710301728214	50	0	5
