view	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	realizations_per_allocation	repeated_realizations	A_allocation	A_Cobs	A_Cpred	A_Cmodel	A_anchor_task_mean	B_repeated_task_mean	B_minimum_task_mean	B_maximum_task_mean	C_same_primary_mean	C_minus_B_same_primary	C_full_role_assignments_per_allocation	all_task_support
direct_state	64	additive	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0	27	True
direct_state	64	additive	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7960862159356358	0.7960862159356356	0.7960862159356358	0.7960862159356358	0.7960862159356356	0	27	True
direct_state	64	additive	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0	27	True
direct_state	64	compositional_ridge	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02540393107127663	0.02540393107127664	0.02540393107127663	0.02540393107127663	0.02540393107127664	0	27	True
direct_state	64	compositional_ridge	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06642597886538054	0.06642597886538053	0.06642597886538054	0.06642597886538054	0.06642597886538053	0	27	True
direct_state	64	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7559513028323471	0.755951302832347	0.7559513028323471	0.7559513028323471	0.755951302832347	0	27	True
direct_state	64	compositional_ridge	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.88989898989899	0.8898989898989901	0.88989898989899	0.88989898989899	0.8898989898989901	0	27	True
direct_state	64	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0	27	True
direct_state	64	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0	27	True
direct_state	64	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	0	27	True
direct_state	64	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.4999999999999998	0.4999999999999999	0.4999999999999998	0.4999999999999998	0.4999999999999999	0	27	True
direct_state	64	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0	27	True
direct_state	64	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0	27	True
direct_state	64	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7920092797151159	0.792009279715116	0.7920092797151159	0.7920092797151159	0.792009279715116	0	27	True
direct_state	64	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9636363636363636	0.9636363636363637	0.9636363636363636	0.9636363636363636	0.9636363636363637	0	27	True
direct_state	128	selected_CPA	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.07184978114449472	0.07390979488926193	0.07126373304095748	0.07771634707272351	0.07390979488926193	0	27	True
direct_state	128	selected_CPA	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.115531239838893	0.1172583457492626	0.1152144284075831	0.1204710325107467	0.1172583457492626	0	27	True
direct_state	128	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.1247758529960599	0.1148142501978335	0.09945115126519133	0.1358756571632161	0.1148142501978335	0	27	True
direct_state	128	selected_CPA	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5609427609427609	0.5609652076318742	0.5569023569023568	0.5639730639730639	0.5609652076318742	0	27	True
direct_state	128	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0	27	True
direct_state	128	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1315293332522501	0.13152933325225	0.1315293332522501	0.1315293332522501	0.13152933325225	0	27	True
direct_state	128	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	0	27	True
direct_state	128	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0	27	True
direct_state	128	additive	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0	27	True
direct_state	128	additive	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0	27	True
direct_state	128	additive	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7960862159356358	0.7960862159356356	0.7960862159356358	0.7960862159356358	0.7960862159356356	0	27	True
direct_state	128	additive	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0.9717171717171719	0	27	True
direct_state	128	compositional_ridge	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02540393107127663	0.02540393107127664	0.02540393107127663	0.02540393107127663	0.02540393107127664	0	27	True
direct_state	128	compositional_ridge	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06642597886538054	0.06642597886538053	0.06642597886538054	0.06642597886538054	0.06642597886538053	0	27	True
direct_state	128	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7559513028323471	0.755951302832347	0.7559513028323471	0.7559513028323471	0.755951302832347	0	27	True
direct_state	128	compositional_ridge	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.88989898989899	0.8898989898989901	0.88989898989899	0.88989898989899	0.8898989898989901	0	27	True
direct_state	128	NC_native_effect	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0.1030066224020455	0	27	True
direct_state	128	NC_native_effect	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0.1403132029464746	0	27	True
direct_state	128	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	-0.2492367657317343	0	27	True
direct_state	128	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.4999999999999998	0.4999999999999999	0.4999999999999998	0.4999999999999998	0.4999999999999999	0	27	True
direct_state	128	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0.0210638960462991	0	27	True
direct_state	128	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0.06113431200647815	0	27	True
direct_state	128	native_effect_ridge	native_effect	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7920092797151159	0.792009279715116	0.7920092797151159	0.7920092797151159	0.792009279715116	0	27	True
direct_state	128	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9636363636363636	0.9636363636363637	0.9636363636363636	0.9636363636363636	0.9636363636363637	0	27	True
direct_state	135	selected_CPA	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.07170360327250432	0.07382567249426686	0.07126276146429487	0.07717766036864214	0.07382567249426686	0	27	True
direct_state	135	selected_CPA	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1154356674593672	0.1171938231589002	0.1152025796822138	0.1199802199567086	0.1171938231589002	0	27	True
direct_state	135	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.1253481119674495	0.1152871350215326	0.0980772683706426	0.1351261224545334	0.1152871350215326	0	27	True
direct_state	135	selected_CPA	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5609427609427609	0.5609988776655442	0.5565656565656566	0.5639730639730639	0.5609988776655442	0	27	True
direct_state	135	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0	27	True
direct_state	135	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1315293332522501	0.13152933325225	0.1315293332522501	0.1315293332522501	0.13152933325225	0	27	True
direct_state	135	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	0	27	True
direct_state	135	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0	27	True
direct_state	135	additive	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0	27	True
direct_state	135	additive	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0.0689669535513437	0	27	True
direct_state	135	additive	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.7960862159356358	0.7960862159356356	0.7960862159356358	0.7960862159356358	0.7960862159356356	0	27	True
