depth	role	model	metric	gap	taskmean_values	positive	negative	within
16	Cobs	compositional_ridge	perturbation_centred_Pearson	0.0	1620	810	810	0
16	Cobs	compositional_ridge	perturbation_centred_Pearson	0.005	1620	717	717	186
16	Cobs	compositional_ridge	perturbation_centred_Pearson	0.01	1620	651	651	318
16	Cobs	compositional_ridge	perturbation_centred_Pearson	0.02	1620	561	561	498
16	Cobs	compositional_ridge	centroid_accuracy	0.0	1620	798	798	24
16	Cobs	compositional_ridge	centroid_accuracy	0.005	1620	549	549	522
16	Cobs	compositional_ridge	centroid_accuracy	0.01	1620	360	360	900
16	Cobs	compositional_ridge	centroid_accuracy	0.02	1620	126	126	1368
16	Cobs	NC_native_effect	standardized_MSE	0.0	1620	810	810	0
16	Cobs	NC_native_effect	standardized_MSE	0.005	1620	459	459	702
16	Cobs	NC_native_effect	standardized_MSE	0.01	1620	243	243	1134
16	Cobs	NC_native_effect	standardized_MSE	0.02	1620	9	9	1602
16	Cobs	NC_native_effect	raw_RMSE	0.0	1620	810	810	0
16	Cobs	NC_native_effect	raw_RMSE	0.005	1620	315	315	990
16	Cobs	NC_native_effect	raw_RMSE	0.01	1620	45	45	1530
16	Cobs	NC_native_effect	raw_RMSE	0.02	1620	0	0	1620
16	Cobs	NC_native_effect	perturbation_centred_Pearson	0.0	1620	810	810	0
16	Cobs	NC_native_effect	perturbation_centred_Pearson	0.005	1620	459	459	702
16	Cobs	NC_native_effect	perturbation_centred_Pearson	0.01	1620	234	234	1152
16	Cobs	NC_native_effect	perturbation_centred_Pearson	0.02	1620	18	18	1584
16	Cobs	NC_native_effect	centroid_accuracy	0.0	1620	0	0	1620
16	Cobs	NC_native_effect	centroid_accuracy	0.005	1620	0	0	1620
