task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	2	0	0.05250354825581452	0.10320951548958048	0.43420140540576635	0.8888888888888888
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	2	1	0.05250354825581452	0.10320951548958048	0.43420140540576635	0.8888888888888888
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	0	2	2	0.05250354825581452	0.10320951548958048	0.43420140540576635	0.8888888888888888
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	0	0	0.046445475740964894	0.09771926335094958	0.49036137560474186	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	0	1	0.046445475740964894	0.09771926335094958	0.49036137560474186	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	0	2	0.046445475740964894	0.09771926335094958	0.49036137560474186	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	1	0	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	1	1	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	1	2	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	2	0	0.048200684410796515	0.09922233106699474	0.4574037847963005	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	2	1	0.048200684410796515	0.09922233106699474	0.4574037847963005	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	1	2	2	0.048200684410796515	0.09922233106699474	0.4574037847963005	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	0	0	0.046986957378562656	0.09742887079458966	0.5148079817792806	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	0	1	0.046986957378562656	0.09742887079458966	0.5148079817792806	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	0	2	0.046986957378562656	0.09742887079458966	0.5148079817792806	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	1	0	0.04845511999815038	0.09861784481822679	0.5090202270532687	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	1	1	0.04845511999815038	0.09861784481822679	0.5090202270532687	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	1	2	0.04845511999815038	0.09861784481822679	0.5090202270532687	0.9444444444444444
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	2	0	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	2	1	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	roles	2	2	2	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	direct_state	unused	unused	0	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	direct_state	unused	unused	1	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	original_CPA_fixed	direct_state	unused	unused	2	0.02060770208667321	0.06794371769685714	0.795187953542578	0.9259259259259259
0	BAK1+KLF1	8	0	additive	roles	0	0	0	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	0	0	1	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	0	0	2	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
0	BAK1+KLF1	8	0	additive	roles	0	1	0	0.03328573976837147	0.07947182301105038	0.7925065015489716	1.0
0	BAK1+KLF1	8	0	additive	roles	0	1	1	0.03328573976837147	0.07947182301105038	0.7925065015489716	1.0
0	BAK1+KLF1	8	0	additive	roles	0	1	2	0.03328573976837147	0.07947182301105038	0.7925065015489716	1.0
0	BAK1+KLF1	8	0	additive	roles	0	2	0	0.03478382890790127	0.0808250226291359	0.7757259090460642	1.0
0	BAK1+KLF1	8	0	additive	roles	0	2	1	0.03478382890790127	0.0808250226291359	0.7757259090460642	1.0
0	BAK1+KLF1	8	0	additive	roles	0	2	2	0.03478382890790127	0.0808250226291359	0.7757259090460642	1.0
0	BAK1+KLF1	8	0	additive	roles	1	0	0	0.035821757750161935	0.08279509010521305	0.7856521494801963	1.0
0	BAK1+KLF1	8	0	additive	roles	1	0	1	0.035821757750161935	0.08279509010521305	0.7856521494801963	1.0
0	BAK1+KLF1	8	0	additive	roles	1	0	2	0.035821757750161935	0.08279509010521305	0.7856521494801963	1.0
0	BAK1+KLF1	8	0	additive	roles	1	1	0	0.0058304618726721545	0.03365381649945048	0.9526325484441007	1.0
