depth	role	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
16	Cpred	additive	standardized_MSE	54	89100	0.011119468287857232	0.035821574139207335	-0.02081826686293794	0.02081826686293794	0.010594306939122233	0.02081826686293794	-3.319532577486483e-20
16	Cpred	additive	raw_RMSE	54	89100	0.013917777556634956	0.038965495585189004	-0.02545906315540207	0.02545906315540207	0.013361447706539986	0.02545906315540207	-1.5419764230904953e-19
16	Cpred	additive	perturbation_centred_Pearson	54	89100	0.06847664788797939	0.29415048367406654	-0.1091514429066627	0.1091514429066627	0.06534514042340332	0.1091514429066627	4.540263912433125e-19
16	Cpred	additive	centroid_accuracy	54	89100	0.005040528744232742	0.31481481481481477	-0.012457912457912454	0.012457912457912454	0.0031225838633246166	0.012457912457912454	-2.5431902811388377e-21
16	Cpred	compositional_ridge	standardized_MSE	54	89100	0.011242195760908874	0.041071896514536105	-0.02159104318567929	0.02159104318567929	0.010855148954617398	0.02159104318567929	3.4266142735344337e-20
16	Cpred	compositional_ridge	raw_RMSE	54	89100	0.014680436433338502	0.03730898737930734	-0.026438770642916585	0.026438770642916585	0.014209230193032166	0.026438770642916585	-1.0494006212699203e-19
16	Cpred	compositional_ridge	perturbation_centred_Pearson	54	89100	0.12705456933792697	0.4261749037597859	-0.21686902668884656	0.21686902668884656	0.12265248540806939	0.21686902668884656	6.853228547068867e-19
16	Cpred	compositional_ridge	centroid_accuracy	54	89100	0.020294301035036762	0.42592592592592593	-0.042424242424242434	0.042424242424242434	0.010629754333458051	0.042424242424242434	1.6918907975576266e-19
16	Cpred	NC_native_effect	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	NC_native_effect	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	NC_native_effect	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	NC_native_effect	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	native_effect_ridge	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	native_effect_ridge	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	native_effect_ridge	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cpred	native_effect_ridge	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	selected_CPA	standardized_MSE	54	89100	0.0064595495194820374	0.05307538026272979	-0.023853053145584502	0.023853053145584502	0.006045286383672038	0.023853053145584502	-3.7478593616782866e-21
16	Cmodel	selected_CPA	raw_RMSE	54	89100	0.005051041549940803	0.019951209591468705	-0.016402500048203907	0.016402500048203907	0.004560056005607303	0.016402500048203907	2.6770424011987762e-20
16	Cmodel	selected_CPA	perturbation_centred_Pearson	54	89100	0.038445519095117495	0.256044287128412	-0.10677404152668114	0.10677404152668114	0.021571095712468163	0.10677404152668114	-3.2124508814385315e-20
16	Cmodel	selected_CPA	centroid_accuracy	54	89100	0.016049382716039708	0.20370370370370372	-0.01616161616161616	0.01616161616161616	0.004772831192584287	0.01616161616161616	-1.1778986565274616e-20
16	Cmodel	original_CPA_fixed	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	original_CPA_fixed	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	original_CPA_fixed	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	additive	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	additive	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	additive	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	additive	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	compositional_ridge	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	compositional_ridge	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	compositional_ridge	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	compositional_ridge	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	NC_native_effect	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	NC_native_effect	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	NC_native_effect	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	NC_native_effect	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	native_effect_ridge	standardized_MSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	native_effect_ridge	raw_RMSE	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	native_effect_ridge	perturbation_centred_Pearson	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cmodel	native_effect_ridge	centroid_accuracy	54	89100	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32	Cobs	selected_CPA	standardized_MSE	54	89100	0.007137409806586905	0.04960992487912991	-0.02505474815816235	0.02505474815816235	0.006741229151212795	0.02505474815816235	3.2659917294625075e-20
32	Cobs	selected_CPA	raw_RMSE	54	89100	0.006033104405310162	0.025059001068522366	-0.018992343431287497	0.018992343431287497	0.005621563797638883	0.018992343431287497	7.040621515152782e-20
32	Cobs	selected_CPA	perturbation_centred_Pearson	54	89100	0.055431321918672935	0.29615108787176847	-0.08951146263375763	0.08951146263375763	0.022387076164407542	0.08951146263375763	3.0678905917737976e-19
32	Cobs	selected_CPA	centroid_accuracy	54	89100	0.012731429521545877	0.12962962962962965	-0.013131313131313134	0.013131313131313134	0.0034883817599867125	0.013131313131313134	1.5392993806892963e-20
32	Cobs	original_CPA_fixed	standardized_MSE	54	89100	0.007396521711043469	0.04844818023450387	-0.02368193937137433	0.02368193937137433	0.00700020105780069	0.02368193937137433	9.262566708147766e-20
32	Cobs	original_CPA_fixed	raw_RMSE	54	89100	0.00567847283771998	0.022682965953660303	-0.016630020476594003	0.016630020476594003	0.005276064635386066	0.016630020476594003	6.478442610901039e-20
32	Cobs	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.05436454612015373	0.22070056975953295	-0.049859664824267055	0.049859664824267055	0.016539789473201352	0.049859664824267055	-2.141633920959021e-19
32	Cobs	original_CPA_fixed	centroid_accuracy	54	89100	0.009058486095519404	0.11111111111111116	-0.006397306397306397	0.006397306397306397	0.0018306522010225782	0.006397306397306397	-6.558753882937002e-20
32	Cobs	additive	standardized_MSE	54	89100	0.005802617585013065	0.024799885045932238	-0.01223813605223668	0.01223813605223668	0.005449153599467828	0.01223813605223668	-1.0708169604795105e-20
32	Cobs	additive	raw_RMSE	54	89100	0.007807894876711373	0.023712628681311403	-0.0157985298584012	0.0157985298584012	0.0074024778794390695	0.0157985298584012	5.0328397142536994e-20
32	Cobs	additive	perturbation_centred_Pearson	54	89100	0.03915332127117642	0.18320590306766887	-0.06495741626056031	0.06495741626056031	0.037029011740374006	0.06495741626056031	-3.6407776656303357e-19
32	Cobs	additive	centroid_accuracy	54	89100	0.0031325601695966856	0.16666666666666663	-0.007070707070707067	0.007070707070707067	0.0019952612545205153	0.007070707070707067	2.7573536732347396e-20
32	Cobs	compositional_ridge	standardized_MSE	54	89100	0.005839381524529036	0.025001034318707302	-0.01225991821703486	0.01225991821703486	0.005515761058431834	0.01225991821703486	-5.193462258325626e-20
32	Cobs	compositional_ridge	raw_RMSE	54	89100	0.008250550724720283	0.02481272167485788	-0.015996027133169555	0.015996027133169555	0.007812335426840984	0.015996027133169555	-6.4249017628770636e-21
32	Cobs	compositional_ridge	perturbation_centred_Pearson	54	89100	0.07897402922699998	0.3113044011649212	-0.1338054010902588	0.1338054010902588	0.07541197195024436	0.1338054010902588	1.7133071367672168e-19
32	Cobs	compositional_ridge	centroid_accuracy	54	89100	0.01421374236188637	0.29629629629629634	-0.02727272727272729	0.02727272727272729	0.007427360019952648	0.02727272727272729	4.9257580182057486e-20
32	Cobs	NC_native_effect	standardized_MSE	54	89100	0.0050624001649219805	0.03903133786525498	-0.013946269931115534	0.013946269931115534	0.004808264022123663	0.013946269931115534	-2.958131853324648e-20
32	Cobs	NC_native_effect	raw_RMSE	54	89100	0.003470915719719673	0.013843818247635864	-0.009413800580590674	0.009413800580590674	0.003188143288493102	0.009413800580590674	7.6563412674285e-20
32	Cobs	NC_native_effect	perturbation_centred_Pearson	54	89100	0.021435044186017358	0.10144515637956922	-0.01554389956390034	0.01554389956390034	0.004074076010854255	0.01554389956390034	-8.573228289839081e-20
32	Cobs	NC_native_effect	centroid_accuracy	54	89100	0.0072053872053865495	0.07407407407407407	0.0	0.0	0.0	0.0	0.0
