dataset	regime	reference_depth	family	readout	root_index	value
gse162632	cap48	8	CellOT	D_to_P	0	-0.013144133763922795
gse162632	cap48	8	CellOT	D_to_P	1	-0.012748694930535579
gse162632	cap48	8	CellOT	D_to_P	2	-0.011928774974263095
gse162632	cap48	8	CellOT	D_to_P	3	-0.0122534072866307
gse162632	cap48	8	CellOT	D_to_P	4	-0.011407152158237186
gse162632	cap48	8	CellOT	D_to_P	5	-0.01169268228343602
gse162632	cap48	8	CellOT	D_to_P	6	-0.011837018337657169
gse162632	cap48	8	CellOT	D_to_P	7	-0.011831624798654442
gse162632	cap48	8	CellOT	S_to_M	0	-2.211991007028402e-12
gse162632	cap48	8	CellOT	S_to_M	1	1.0244341884050693e-11
gse162632	cap48	8	CellOT	S_to_M	2	5.668472635722569e-14
gse162632	cap48	8	CellOT	S_to_M	3	-4.866565988156009e-12
gse162632	cap48	8	CellOT	S_to_M	4	-4.461222280482957e-12
gse162632	cap48	8	CellOT	S_to_M	5	-4.609934508200316e-12
gse162632	cap48	8	CellOT	S_to_M	6	3.190704339628425e-12
gse162632	cap48	8	CellOT	S_to_M	7	6.850605083208449e-13
parse	common48	48	scGen	raw_state	0	0.04673689292273646
parse	common48	48	scGen	raw_state	1	0.04328225044267377
parse	common48	48	scGen	raw_state	2	0.04393866505895315
parse	common48	48	scGen	raw_state	3	0.0438222885259954
parse	common48	48	scGen	raw_state	4	0.04613983273133171
parse	common48	48	scGen	raw_state	5	0.04789686287949882
parse	common48	48	scGen	raw_state	6	0.046958138532487634
parse	common48	48	scGen	raw_state	7	0.043671582550182955
parse	common48	48	scGen	input_centered_effect	0	0.17204003268952955
parse	common48	48	scGen	input_centered_effect	1	0.18140288714058608
parse	common48	48	scGen	input_centered_effect	2	0.17321372991722928
parse	common48	48	scGen	input_centered_effect	3	0.17286730885762783
parse	common48	48	scGen	input_centered_effect	4	0.1798094600362555
parse	common48	48	scGen	input_centered_effect	5	0.1793031709376706
parse	common48	48	scGen	input_centered_effect	6	0.17485812822225857
parse	common48	48	scGen	input_centered_effect	7	0.17958822342395103
parse	common48	48	scGen	reference	0	0.18015913714842088
parse	common48	48	scGen	reference	1	0.1880274111763369
parse	common48	48	scGen	reference	2	0.18035242758737655
parse	common48	48	scGen	reference	3	0.17999923333013756
parse	common48	48	scGen	reference	4	0.1872899039794497
