cohort	program_id	mse_S	mse_D	mse_D_minus_S	contribution_to_all37_mse_delta	contribution_to_secondary_without_IFNa36	mae_S	mae_D	mae_D_minus_S
extension34_five_types	HALLMARK_MITOTIC_SPINDLE	0.019250268185925835	0.014336262412097497	-0.004914005773828337	-0.00013281096686022534	-0.0001365001603841205	0.11459355494441158	0.0980447626759448	-0.016548792268466783
extension34_five_types	HALLMARK_MTORC1_SIGNALING	0.012826913274333116	0.009210234336432194	-0.0036166789379009218	-9.774807940272761e-05	-0.00010046330383058115	0.08838768605000248	0.0760324446558828	-0.012355241394119684
extension34_five_types	HALLMARK_MYC_TARGETS_V1	0.010933846855003983	0.008548778184172608	-0.0023850686708313754	-6.446131542787501e-05	-6.625190752309376e-05	0.08150894022959192	0.0719455764801997	-0.00956336374939222
extension34_five_types	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.008952669255862248	0.007123726416123788	-0.0018289428397384603	-4.9430887560498926e-05	-5.0803967770512783e-05	0.07426535952839801	0.06515936572905719	-0.009105993799340822
extension34_five_types	HALLMARK_P53_PATHWAY	0.01242356745306881	0.009509743846787202	-0.0029138236062816077	-7.875198935896237e-05	-8.093954461893355e-05	0.0917554216580096	0.08039295824653875	-0.011362463411470847
extension34_five_types	HALLMARK_PEROXISOME	0.02415170009968672	0.017486931366024444	-0.006664768733662275	-0.00018012888469357498	-0.00018513246482395208	0.12560229774721451	0.10585696412329387	-0.01974533362392064
extension34_five_types	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.013887232435815562	0.011283043593718557	-0.0026041888420970053	-7.038348221883799e-05	-7.233857894713903e-05	0.09165587413815622	0.08582247664628093	-0.0058333974918752945
extension34_five_types	HALLMARK_PROTEIN_SECRETION	0.015118720302928875	0.012036249497352736	-0.003082470805576139	-8.331002177232808e-05	-8.562418904378164e-05	0.09518583702948348	0.08825671649086086	-0.006929120538622616
extension34_five_types	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.022163313421173024	0.02008839096258643	-0.0020749224585865957	-5.6078985367205285e-05	-5.763673496073877e-05	0.11303325210864108	0.11005010483060991	-0.002983147278031173
extension34_five_types	HALLMARK_TGF_BETA_SIGNALING	0.02576203485638339	0.01741697522762637	-0.00834505962875702	-0.00022554215212856811	-0.00023180721190991724	0.1287643951742186	0.10487425310719299	-0.023890142067025597
extension34_five_types	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.014162341268196701	0.012565591806539277	-0.0015967494616574238	-4.315539085560605e-05	-4.4354151712706216e-05	0.08642067142216306	0.08071597905465594	-0.005704692367507119
extension34_five_types	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.019597764730160283	0.013059617002845208	-0.006538147727315076	-0.0001767066953328399	-0.00018161521464764099	0.11146966301654701	0.09402184720730185	-0.017447815809245162
extension34_five_types	HALLMARK_UV_RESPONSE_DN	0.018533105310099718	0.013874044584605704	-0.004659060725494013	-0.00012592056014848685	-0.00012941835348594482	0.10561438864980258	0.0930008935931973	-0.012613495056605278
extension34_five_types	HALLMARK_UV_RESPONSE_UP	0.016894356658000723	0.012115042528293027	-0.004779314129707696	-0.00012917065215426206	-0.00013275872582521378	0.10228998414715029	0.08313416734477753	-0.019155816802372758
extension34_five_types	HALLMARK_XENOBIOTIC_METABOLISM	0.029272380112514085	0.01956927000709977	-0.009703110105414317	-0.00026224621906525183	-0.0002695308362615088	0.1369168477430653	0.11001696696774042	-0.02689988077532489
