allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
4	8	64	additive	S	0.026195167136201958
4	8	64	additive	M	0.026195167136201958
4	8	64	additive	P	0.055569780589541741
4	8	64	additive	O	0.055569780589541741
4	8	64	additive	D	0.055569780589541741
4	8	64	compositional_ridge	S	0.025403931071276635
4	8	64	compositional_ridge	M	0.025403931071276635
4	8	64	compositional_ridge	P	0.05477854452461639
4	8	64	compositional_ridge	O	0.05477854452461639
4	8	64	compositional_ridge	D	0.05477854452461639
4	8	64	CPA_0.8.8	S	0.069609678936972938
4	8	64	CPA_0.8.8	M	0.069609678936972938
4	8	64	CPA_0.8.8	P	0.10106484817647439
4	8	64	CPA_0.8.8	O	0.096903736604150997
4	8	64	CPA_0.8.8	D	0.0989842923903127
4	8	64	zero_effect	S	0.11094839173997537
4	8	64	zero_effect	M	0.11094839173997537
4	8	64	zero_effect	P	0.11094839173997537
4	8	64	zero_effect	O	0.11094839173997537
4	8	64	zero_effect	D	0.11094839173997537
4	16	128	additive	S	0.026195167136201958
4	16	128	additive	M	0.026195167136201958
4	16	128	additive	P	0.040351326889998936
4	16	128	additive	O	0.040351326889998936
4	16	128	additive	D	0.040351326889998936
4	16	128	compositional_ridge	S	0.025403931071276635
4	16	128	compositional_ridge	M	0.025403931071276635
4	16	128	compositional_ridge	P	0.039560090825073606
4	16	128	compositional_ridge	O	0.039560090825073606
4	16	128	compositional_ridge	D	0.039560090825073606
4	16	128	CPA_0.8.8	S	0.074646113154797439
4	16	128	CPA_0.8.8	M	0.074646113154797439
4	16	128	CPA_0.8.8	P	0.089445829417258288
4	16	128	CPA_0.8.8	O	0.088158716399930573
4	16	128	CPA_0.8.8	D	0.088802272908594423
4	16	128	zero_effect	S	0.1101294508141091
4	16	128	zero_effect	M	0.11012945081410909
4	16	128	zero_effect	P	0.11012945081410909
4	16	128	zero_effect	O	0.11012945081410909
4	16	128	zero_effect	D	0.11012945081410909
4	32	256	additive	S	0.026195167136201958
4	32	256	additive	M	0.026195167136201958
4	32	256	additive	P	0.033435722987128935
4	32	256	additive	O	0.033435722987128935
4	32	256	additive	D	0.033435722987128935
4	32	256	compositional_ridge	S	0.025403931071276635
4	32	256	compositional_ridge	M	0.025403931071276635
4	32	256	compositional_ridge	P	0.032644486922203599
4	32	256	compositional_ridge	O	0.032644486922203599
4	32	256	compositional_ridge	D	0.032644486922203599
4	32	256	CPA_0.8.8	S	0.074715837355228201
